date,y,cluster,distance
2007-12-10,9.59076113897809,0,0.2481216022152187
2007-12-11,8.51959031601596,1,0.06413750014797366
2007-12-12,8.18367658262066,1,0.27177623324726335
2007-12-13,8.07246736935477,1,0.38298544651314137
2007-12-14,7.8935720735049,2,0.4135675058686604
2007-12-15,7.78364059622125,2,0.30363602858500877
2007-12-16,8.41405243249672,1,0.04140038337125786
2007-12-17,8.82922635473185,1,0.37377353886397074
2007-12-18,8.38251828808963,1,0.07293452777826033
2007-12-19,8.06965530688617,1,0.3857975089817521
2007-12-20,7.87929148508227,2,0.3992869174460126
2007-12-21,7.76174498465891,2,0.28174041702266933
2007-12-22,7.52940645783701,2,0.049401890200770106
2007-12-23,8.38526052015541,1,0.07019229571253756
2007-12-24,8.62011072542292,1,0.16465790955502815
2007-12-25,7.85243908535751,2,0.3724345177212764
2007-12-26,7.85399308722424,2,0.3739885195879989
2007-12-27,8.0519780789023,1,0.4034747369656217
2007-12-28,7.92660259918138,2,0.44659803154512917
2007-12-29,7.83834331555712,2,0.3583387479208701
2007-12-30,9.70314458114435,0,0.13573816004894906
2007-12-31,9.38597294061934,0,0.4529098005739995
2008-01-01,8.29379960884682,1,0.16165320702108765
2008-01-02,8.43468076984177,1,0.020772046026198993
2008-01-03,8.26204284396694,1,0.1934099719009457
2008-01-04,8.10681603894705,1,0.3486367769208624
2008-01-05,7.95014988765202,2,0.4701453200157796
2008-01-06,9.50925907635395,0,0.3296236648393868
2008-01-07,8.84678466694523,1,0.3913318510773396
2008-01-08,8.43054538469057,1,0.024907431177380056
2008-01-09,8.2482674474469,1,0.20718536842099158
2008-01-10,8.28172399041139,1,0.1737288254564756
2008-01-11,8.29279885820037,1,0.1626539576675123
2008-01-12,8.19918935907807,1,0.25626345678987467
2008-01-13,9.99652241850332,0,0.15763967730996772
2008-01-14,10.1270710070787,0,0.2881882658853505
2008-01-15,8.93379604393486,1,0.47834322806696444
2008-01-16,8.56617381363786,1,0.11072099776997754
2008-01-17,8.54772239645106,1,0.09226958058316234
2008-01-18,8.39976009452414,1,0.055692721343750244
2008-01-19,8.22309055116153,1,0.23236226470640994
2008-01-20,8.83898679349679,1,0.3835339776288841
2008-01-22,9.44493807333551,0,0.3939446678578375
2008-01-23,8.92332474406756,1,0.4678719281996482
2008-01-24,8.5434455625603,1,0.0879927466923919
